,vehicleid,status,rptdatetime,velocity,direction,call_id,geom,marvlis_bayes_id,lat,lon
119,RC1,ENROUTE,2012-09-07 00:03:58,39.0,46.0,122500374.0,0101000020E6100000102384471B975EC0C0CFB87020E84240,13706959,37.81349,-122.36104
120,82,DISPATCH,2012-09-07 00:04:00,0.0,15.0,122510003.0,0101000020E6100000B3EA73B5159B5EC00DFD135CACE44240,13706960,37.78651,-122.4232
121,E03,DISPATCH,2012-09-07 00:04:00,9.0,84.0,122510003.0,0101000020E610000062670A9DD79A5EC0CEFA9463B2E44240,13706961,37.786694,-122.41941
122,55,AT SCENE,2012-09-07 00:04:04,0.0,86.0,122510001.0,0101000020E6100000999EB0C4039E5EC0AB3E575BB1E34240,13706962,37.77885,-122.46898
123,E31,AT SCENE,2012-09-07 00:04:07,0.0,0.0,122500375.0,0101000020E61000003868AF3E1E9E5EC0A774B0FECFE34240,13706963,37.779785,-122.470596
124,B03,AT SCENE,2012-09-07 00:04:08,52.0,72.0,122500374.0,0101000020E6100000B0389CF9D5965EC02AA913D044E84240,13706964,37.8146,-122.35681
125,54,AT SCENE,2012-09-07 00:04:08,57.0,69.0,122500374.0,0101000020E6100000B285200725965EC00D37E0F3C3E84240,13706965,37.81848,-122.34601
126,RC1,ENROUTE,2012-09-07 00:04:08,47.0,67.0,122500374.0,0101000020E610000014ED2AA4FC965EC0DCBA9BA73AE84240,13706966,37.81429,-122.35917
127,E29,IN-SERV,2012-09-07 00:04:09,0.0,45.0,,0101000020E6100000A646E867EA995EC0DEFFC70913E24240,13706967,37.766206,-122.404932
128,B02,AT SCENE,2012-09-07 00:04:11,3.0,58.0,122500376.0,0101000020E61000001E166A4DF39A5EC01EC4CE143AE34240,13706968,37.77521,-122.4211
129,RC2,AT SCENE,2012-09-07 00:04:13,0.0,62.0,122500375.0,0101000020E6100000884B8E3BA59D5EC01E5036E50AE34240,13706969,37.77377,-122.46321
130,E14,ENROUTE,2012-09-07 00:04:14,19.0,79.0,122510001.0,0101000020E610000072FBE593159F5EC04BB1A371A8E34240,13706970,37.778578,-122.485692
131,RC1,ENROUTE,2012-09-07 00:04:18,49.0,67.0,122500374.0,0101000020E61000008D62B9A5D5965EC06A4DF38E53E84240,13706971,37.81505,-122.35679
132,54,AT SCENE,2012-09-07 00:04:18,53.0,71.0,122500374.0,0101000020E6100000C79DD2C1FA955EC0E275FD82DDE84240,13706972,37.81926,-122.34343
133,B03,AT SCENE,2012-09-07 00:04:18,61.0,71.0,122500374.0,0101000020E6100000745E6397A8965EC03F6F2A5261E84240,13706973,37.81547,-122.35404
134,B03,AT SCENE,2012-09-07 00:04:28,62.0,67.0,122500374.0,0101000020E61000005114E81379965EC05C77F35487E84240,13706974,37.81663,-122.35114
135,RC1,ENROUTE,2012-09-07 00:04:28,50.0,66.0,122500374.0,0101000020E61000005FEFFE78AF965EC03F8C101E6DE84240,13706975,37.81583,-122.35446
136,54,AT SCENE,2012-09-07 00:04:28,51.0,80.0,122500374.0,0101000020E610000059A31EA2D1955EC08D9C853DEDE84240,13706976,37.81974,-122.34092
137,E14,ENROUTE,2012-09-07 00:04:36,28.0,86.0,122510001.0,0101000020E61000001689096AF89E5EC0D4635B069CE34240,13706977,37.778199,-122.483912
138,B03,AT SCENE,2012-09-07 00:04:38,62.0,68.0,122500374.0,0101000020E61000001C5F7B6649965EC0A99F3715A9E84240,13706978,37.81766,-122.34823
139,54,AT SCENE,2012-09-07 00:04:38,53.0,80.0,122500374.0,0101000020E6100000F2CD3637A6955EC08CB96B09F9E84240,13706979,37.8201,-122.33827
140,RC1,ENROUTE,2012-09-07 00:04:38,52.0,66.0,122500374.0,0101000020E61000005C77F35487965EC0AA4885B185E84240,13706980,37.81658,-122.35201
141,54,AT SCENE,2012-09-07 00:04:48,50.0,81.0,122500374.0,0101000020E6100000F67AF7C77B955EC08CD651D504E94240,13706981,37.82046,-122.33568
142,RC1,ENROUTE,2012-09-07 00:04:48,51.0,67.0,122500374.0,0101000020E6100000D5EC815660965EC00DE02D90A0E84240,13706982,37.8174,-122.34963
143,B03,AT SCENE,2012-09-07 00:04:48,62.0,68.0,122500374.0,0101000020E61000000A80F10C1A965EC0B84082E2C7E84240,13706983,37.8186,-122.34534
144,E14,ENROUTE,2012-09-07 00:04:50,25.0,87.0,122510001.0,0101000020E610000014967840D99E5EC0A3772AE09EE34240,13706984,37.778286,-122.48201
145,E03,ENROUTE,2012-09-07 00:04:57,1.0,73.0,122510003.0,0101000020E61000007592AD2EA79A5EC0FCC56CC9AAE44240,13706985,37.786462,-122.416454
